nama_lengkap,nama_panggilan,tempat_tanggal_lahir,generasi,salam_perkenalan,,,,,
Greesella Sophina Adhalia,"Greesel, Icel","Bogor, Jawa Barat, Indonesia, 10 Januari 2006 (17 tahun)",11,"Pandangan mataku akan menyinari hatimu bagaikan kunang-kunang di malam hari. Halo, aku Greesel!","31 Oktober 2022 (1 tahun, 59 hari)",Belum pernah,Degrees,"@: @jkt48.greesel
IDN: Greesel JKT48
IG: @jkt48.greesel
SR: Greesel / ????? (JKT48)
TT: @greeseljkt48
X: @Greesel_JKT48",
Hillary Abigail,Lily,"Jakarta, Indonesia, 19 Oktober 2007 (16 tahun)",12,Papipapipum! Aku akan mengejutkanmu dengan kehebatanku! Halo nama aku Lily.,18 November 2023 (41 hari),Belum pernah,Hillaryours,"IG: @jkt48.lily_
TT: @jkt48.lily
X: @Lily_JKT48",
Jazzlyn Trisha,Trisha,"Jakarta, Indonesia, 16 Februari 2011 (12 tahun)",12,"Pelukis yang hadir di mimpi-mimpi indahmu. One, two, Tri... sha!",18 November 2023 (41 hari),Belum pernah,Trishairs,"IG: @jkt48.trisha
TT: @jkt48.trisha
X: @JTrisha_JKT48",
Jeane Victoria Kurniawan,"Jeane, Kajen","Tangerang, Banten, Indonesia, 5 Juni 2006 (17 tahun)",11,"Victoria! Aku akan memenangkan harimu. Hai, aku Jeane!","31 Oktober 2022 (1 tahun, 59 hari)",Belum pernah,Jeanity,"@: @jkt48.jeane
IDN: Jeane JKT48
IG: @jkt48.jeane
SR: Jeane / ??? (JKT48)
TT: @jeanejkt48
X: @Jeane_JKT48",
Letycia Moreen Felithia,Moreen,"Jakarta, Indonesia, 7 Juni 2010 (13 tahun)",12,"Sweet as bubble gum, graceful as a princess. Siapakah itu? One and only, Moreen! Halo semuanya nama aku Moreen!",18 November 2023 (41 hari),Belum pernah,Morrealta,"IG: @jkt48.moreen
TT: @jkt48.moreen
X: @Moreen_JKT48",
Michelle Alexandra Suandi,Michie,"Jakarta, Indonesia, 22 April 2009 (14 tahun)",11,"Always your number one, till infinity and beyond. Hello everyone, it's Michie!","31 Oktober 2022 (1 tahun, 59 hari)",Belum pernah,Michiban,"@: @jkt48.michie_
IDN: Michie JKT48
IG: @jkt48.michie_
SR: Michie / ??? (JKT48)
TT: @michiejkt48
X: @Michie_JKT48",
Michelle Levia Arifin,Levi,"Kota Tangerang, Banten, Indonesia, 24 Januari 2009 (14 tahun)",12,Are you ready? Jalani hari ini dengan menari bersamaku. Yuhu! Aku Levi!,18 November 2023 (41 hari),Belum pernah,Levianistic,"IG: @jkt48.levi
TT: @jkt48.levi
X: @Levi_JKT48",
Nayla Suji Aurelia (????????????),Nayla,"Kumamoto, Jepang, 18 Juni 2007 (16 tahun)",12,"Moshi! moshi! Welcome Nayla-lalaland! Halo semuanya, bakkyun! Nama aku Nayla!",18 November 2023 (41 hari),Belum pernah,Naylands,"IG: @jkt48.nayla.s
TT: @jkt48.nayla
X: @SNayla_JKT48",
Nina Tutachia Chapman,Nachia,"Bali, Indonesia, 16 Oktober 2009 (14 tahun)",12,"Si panda unyu yang selalu ceria. Halo aku Nachia, bikin kamu bahagia!",18 November 2023 (41 hari),Belum pernah,NiTuVers,"IG: @jkt48.nachia.t
TT: @jkt48.nachia
X: @Nachia_JKT48",
Oline Manuel Tjhai,Oline,"Jakarta, Indonesia, 3 November 2007 (16 tahun)",12,"Semangatku full terus, gas gas gas Oline!",18 November 2023 (41 hari),Belum pernah,Olinever,"IG: @jkt48.oline
TT: @jkt48.oline
X: @M_OlineJKT48",
Regina Wilian Hapsari,Regie,"Surakarta, Jawa Tengah, Indonesia, 10 Desember 2009 (14 tahun)",12,"Bagai kalium yang bereaksi dengan air, aku akan meledak dengan semangatku. Boom! Aku Regie.",18 November 2023 (41 hari),Belum pernah,Reginanska,"IG: @jkt48.regie
TT: @jkt48.regie
X: @Regie_JKT48",
Ribka Budiman,Ribka,"Bandung, Jawa Barat, Indonesia, 13 Januari 2009 (14 tahun)",12,"Mirror mirror on the wall, who's the sweetest in here? It's me Ribka!",18 November 2023 (41 hari),Belum pernah,Ribcalls,"IG: @jkt48.ribka
TT: @jkt48.ribka
X: @Ribka_JKT48",
Shabilqis Naila Bustami,Nala,"Jakarta, Indonesia, 1 September 2008 (15 tahun)",12,"Roar! Si singa pemberani yang siap menyemangati harimu. Hai, hai! Aku Nala.",18 November 2023 (41 hari),Belum pernah,Qistimewa,"IG: @jkt48.nala
TT: @jkt48.nala
X: @Nala_JKT48",
Victoria Kimberly,Kimmy,"Jakarta, Indonesia, 8 Maret 2010 (13 tahun)",12,"Baby hamster yang lincah, aku akan berlari-lari di pikiranmu. Halo-ha, katakan Kimmy!",18 November 2023 (41 hari),Belum pernah,Victorian Era,"IG: @jkt48.kimmy
TT: @jkt48.kimmy
X: @Kimmy_JKT48",
